x,y,z
-50,44,-1044
-17,39,-1013
-42,29,-1038
-15,50,-1013
-29,13,-1022
-21,48,-1003
-11,27,-1003
-23,3,-1020
-23,27,-1009
-25,-9,-1003
-23,33,-1003
25,7,-1005
-54,62,-1007
42,-31,-1003
-56,40,-1020
62,19,-991
-40,9,-1022
35,35,-997
-35,-40,-1016
-3,56,-993
3,-5,-1013
-31,54,-1013
21,19,-1007
-29,-1,-1016
5,48,-1011
3,-21,-1038
-27,74,-1018
27,-33,-1032
-52,81,-1036
31,3,-1026
-68,76,-1036
60,35,-1016
-37,11,-1034
25,48,-1015
-19,-31,-1032
-25,66,-1028
40,23,-1016
-56,68,-1046
44,19,-1001
-54,0,-1028
27,62,-1005
-31,-7,-1036
0,54,-1013
19,-13,-1018
-31,50,-1018
35,35,-1001
-35,15,-1034
11,66,-999
-11,-37,-1032
-19,64,-1009
0,15,-1011
-50,31,-1024
-7,25,-1003
-37,0,-1005
-31,39,-1005
-17,11,-1013
-66,23,-1005
5,7,-1005
-60,27,-1005
-25,15,-1013
-21,27,-1005
-31,23,-1016
-27,11,-1020
-52,31,-1016
-13,3,-999
-46,40,-1024
5,9,-1003
-52,42,-1005
-23,3,-1009
-23,7,-1005
-25,9,-1013
-15,25,-1009
-5,25,-1015
0,19,-1013
-19,1,-1015
0,17,-1011
-13,0,-1020
-15,52,-1028
13,-9,-1015
-17,39,-1020
33,5,-1026
-33,21,-1022
5,21,-1024
7,-9,-1005
-42,64,-1034
58,-29,-1003
-52,105,-1046
107,-37,-1022
-48,107,-1024
187,9,-1028
156,31,-1038
-87,60,-1016
89,70,-1071
60,68,-931
46,-74,-1018
-64,-17,-1063
146,44,-964
-97,124,-1032
132,-15,-1005
-64,85,-1034
62,5,-958
-74,5,-1054
27,25,-962
-60,-42,-1052
-3,89,-989
-27,-23,-1065
-107,-3,-1024
9,48,-983
-42,-39,-1016
-31,52,-1011
1,-72,-1026
-54,29,-1046
25,29,-1015
-62,62,-1020
46,39,-1018
-54,-50,-1013
-1,15,-981
-5,-21,-1015
-62,99,-1016
5,46,-1009
-83,87,-1036
33,-13,-1005
-68,-37,-995
3,23,-977
-68,25,-1005
-11,111,-1001
-52,54,-1020
-27,64,-1013
-40,37,-1018
-56,-5,-1007
-48,33,-1005
-23,40,-1032
-46,91,-1026
-5,95,-1015
-37,68,-1018
-9,9,-1005
-42,9,-1028
3,29,-1022
-11,54,-1030
-13,97,-1016
-19,44,-1011
-25,40,-1022
1,25,-1005
-13,23,-1032
13,35,-1034
68,-54,-1003
-146,66,-1015
-128,13,-1061
-181,3,-991
58,275,-880
124,148,-1251
-119,-66,-1104
-13,-72,-968
31,27,-993
242,-37,-913
5,111,-1063
107,126,-1077
-140,152,-991
179,-58,-1003
-179,-19,-1044
117,-13,-958
-83,74,-1050
93,56,-989
0,72,-1028
107,64,-979
-7,44,-1001
60,-9,-1044
-21,-11,-1054
66,17,-981
1,25,-1009
-21,19,-989
-15,42,-999
17,3,-1003
-21,1,-1034
-46,7,-1030
-21,-19,-1007
-7,31,-1007
-19,5,-1015
-5,-9,-1020
1,3,-1036
-35,-15,-1046
-15,-15,-1018
-15,-27,-1018
-29,-15,-1020
-44,15,-1018
-27,19,-1024
-39,-15,-1009
-21,-21,-1005
-15,-21,-1007
-29,11,-1007
-23,27,-997
-9,0,-1020
-33,-9,-1011
-15,-19,-1009
-25,-9,-1007
-29,13,-999
-21,23,-1005
-11,29,-1009
-42,33,-1015
-42,13,-1015
-29,5,-1005
-33,11,-1007
-15,19,-1013
-1,31,-1015
-17,50,-1009
0,44,-1028
3,39,-1024
-5,21,-1028
-11,15,-1024
1,52,-1018
-21,64,-1018
-1,62,-1022
0,35,-1011
-25,25,-1016
-3,25,-1022
1,35,-1016
-17,50,-1016
5,44,-1015
-3,60,-1024
-13,50,-1026
-13,50,-1022
11,27,-1022
-21,35,-1018
0,39,-1013
3,31,-1013
-15,44,-1020
-1,35,-1015
5,31,-1011
-5,21,-1005
-21,29,-1003
-11,25,-1015
-21,56,-1026
-17,50,-1022
-19,40,-1011
-21,21,-1022
-19,17,-1015
-15,19,-1015
-13,21,-1016
-15,21,-1016
-1,13,-1020
-19,29,-1015
-23,15,-1015
-7,17,-1015
-25,23,-1013
-19,19,-1016
-13,23,-1020
-31,37,-1018
-25,27,-1009
-13,9,-1016
-17,13,-1016
-27,15,-1018
-15,17,-1013
-21,9,-1016
-23,3,-1015
-9,7,-1013
-11,13,-1015
-13,13,-1013
-1,11,-1007
-19,27,-1009
-7,13,-1016
5,0,-1016
-19,15,-1018
-7,19,-1016
1,5,-1015
-13,5,-1026
-15,0,-1026
-9,9,-1024
-13,15,-1011
-3,5,-1015
0,7,-1013
-25,13,-1018
-19,25,-1015
-7,27,-1018
-11,19,-1011
-5,11,-1022
9,0,-1015
-17,9,-1009
-5,19,-1011
-7,13,-1030
-19,15,-1028
-3,17,-1018
-15,31,-1018
-25,35,-1015
-33,35,-1018
-5,27,-1022
-21,33,-1015
-15,33,-1020
-13,39,-1022
-19,33,-1015
-13,25,-1020
-15,23,-1022
-23,31,-1024
-23,39,-1020
0,44,-1022
-15,44,-1007
-27,39,-1024
-7,25,-1020
-13,35,-1005
-19,46,-1018
-19,33,-1018
-15,27,-1015
-19,19,-1011
-11,31,-1016
-25,40,-1020
-19,33,-1013
-13,21,-1013
-25,29,-1026
-15,35,-1013
1,25,-1022
-17,31,-1020
-7,25,-1013
-5,21,-1018
-1,25,-1013
-15,23,-1016
-9,25,-1011
-21,19,-1016
-1,17,-1028
1,21,-1015
-9,33,-1013
-7,21,-1024
3,9,-1026
-19,13,-1018
-7,11,-1030
11,19,-1016
-15,25,-1015
0,17,-1013
1,-3,-1034
-21,37,-995
-17,15,-1018
-31,27,-1046
-25,19,-1011
-15,5,-1015
-5,29,-1013
-17,21,-1011
-11,21,-1018
-5,13,-1016
-23,9,-1020
-21,19,-1011
-11,13,-1020
-21,29,-1009
-25,23,-1013
-13,13,-1018
-29,13,-1013
-23,15,-1015
-15,31,-1016
-29,25,-1013
-29,21,-1018
-11,13,-1015
-23,27,-1018
-29,25,-1020
-15,23,-1016
-15,21,-1020
-27,15,-1020
-7,29,-1018
-21,31,-1015
-21,25,-1016
-11,11,-1016
-25,21,-1013
-15,21,-1018
-13,27,-1015
-27,29,-1007
-21,25,-1003
0,23,-1018
-11,31,-1016
-11,25,-1011
3,27,-1013
-21,25,-1015
-11,29,-1015
-3,19,-1018
-7,35,-1013
-1,25,-1018
1,17,-1022
-7,29,-1016
-13,25,-1022
-1,27,-1020
-11,37,-1024
-15,21,-1022
-1,19,-1022
-19,31,-1018
-9,29,-1016
-17,35,-1022
-13,29,-1018
-13,29,-1015
-5,21,-1015
-19,37,-1020
-21,29,-1015
-7,19,-1022
-5,27,-1018
-17,21,-1020
-11,23,-1024
-21,31,-1018
-21,15,-1011
1,11,-1016
-21,21,-1005
-19,15,-1007
-13,25,-1016
-27,35,-1018
-29,15,-1015
-11,15,-1005
-3,31,-1018
-21,29,-1011
-17,21,-1011
-11,19,-1015
-27,21,-1024
-9,15,-1013
-15,25,-1007
-31,17,-1013
-1,13,-1013
-17,15,-1016
-21,17,-1013
-5,25,-1015
-25,31,-1009
-25,23,-1024
-7,21,-1015
-27,25,-1018
-19,25,-1024
-9,19,-1024
-19,27,-1022
-17,19,-1013
-5,21,-1011
-13,33,-1016
-13,21,-1018
5,15,-1018
-15,29,-1016
-11,15,-1018
3,15,-1024
-7,29,-1013
-19,21,-1015
1,13,-1015
-11,29,-1015
-15,33,-1018
-3,29,-1007
-19,23,-1016
-17,9,-1018
-5,11,-1011
-23,33,-1013
-19,33,-1013
-11,27,-1007
-21,25,-1011
-15,15,-1016
3,17,-1020
-19,31,-1007
-13,27,-1015
-7,27,-1016
-11,29,-1020
-21,25,-1020
-9,15,-1028
-23,19,-1009
-29,17,-1011
-5,29,-1024
-15,33,-1016
-25,35,-1009
-3,21,-1022
-21,21,-1015
-21,27,-1024
-9,31,-1024
-23,33,-1018
-21,25,-1028
-5,25,-1015
-13,25,-1015
-21,15,-1018
0,29,-1009
-23,37,-1007
-21,35,-1018
-9,27,-1022
-25,27,-1011
-23,25,-1005
-17,25,-1020
-23,35,-1011
-33,23,-1018
-5,19,-1011
-25,29,-1009
-25,19,-1016
-1,21,-1018
-11,19,-1016
-19,7,-1018
5,23,-1018
-21,29,-1007
-9,15,-1009
0,5,-1024
-13,23,-1016
-23,9,-1028
1,19,-1013
-13,23,-1018
-17,19,-1016
-3,7,-1024
-21,19,-1015
-27,21,-1015
0,15,-1013
-19,19,-1015
-19,13,-1022
-3,21,-1024
-17,27,-1007
-17,19,-1007
11,21,-1022
-21,25,-1007
-9,19,-1016
-5,19,-1020
-7,23,-1015
-7,35,-1007
3,-3,-1030
-62,31,-993
13,9,-997
5,33,-1030
-39,21,-995
-37,19,-1016
39,27,-1022
-56,27,-1015
-11,21,-1005
-25,29,-1020
17,25,-1003
-31,17,-1030
-11,25,-1007
-39,39,-1028
0,9,-1005
-17,25,-1013
-21,19,-1011
-15,27,-1015
3,31,-1015
-25,39,-1015
-13,19,-1026
-3,29,-1015
-21,25,-1013
-1,29,-1018
21,35,-1018
11,17,-1015
9,11,-1022
11,15,-1026
-11,44,-1020
-25,25,-1015
-33,27,-1013
-50,15,-1015
-228,72,-1015
-199,1,-976
462,-42,-1007
-21,19,-1034
5,-31,-1011
-222,189,-1114
214,62,-958
-50,-42,-1075
140,-7,-977
-83,-5,-1015
87,40,-1001
-54,68,-1044
17,-9,-1009
-23,91,-1030
50,-3,-960
-31,1,-1032
93,-31,-987
107,29,-1005
27,-35,-1040
-470,39,-657
909,345,-1161
-388,13,-1122
597,-138,-886
-970,290,-1403
499,-105,-626
-365,-83,-1192
759,187,-1071
-817,29,-1030
753,-195,-872
-454,292,-1259
560,-144,-753
-464,72,-1173
359,121,-936
-122,-37,-1046
80,136,-931
-80,0,-1077
40,-23,-1040
39,-3,-1005
-99,95,-960
189,-35,-1046
-162,128,-1048
197,-35,-931
-119,11,-1044
142,27,-995
-128,19,-1061
115,-21,-970
-81,25,-1046
76,15,-991
-97,126,-1015
78,13,-1001
-39,-50,-1038
-11,48,-1011
-37,11,-1016
9,56,-1011
-27,23,-1020
-5,11,-1020
-23,54,-1024
-5,37,-1028
-21,-5,-1024
-9,0,-1016
-7,58,-1011
-1,56,-1022
-13,15,-1018
5,15,-1016
-21,33,-1022
-21,19,-1015
-23,1,-1009
1,35,-1018
-27,64,-1018
-19,39,-1016
0,-23,-1015
-25,5,-1015
-1,25,-1007
-21,21,-1013
15,27,-1015
-21,25,-1034
0,29,-1005
-25,13,-1020
5,13,-1020
-21,13,-1024
0,58,-1024
-11,5,-1024
-21,37,-1020
-9,25,-1016
-39,19,-1013
3,5,-1009
-46,35,-1022
5,29,-1009
-48,52,-1018
13,13,-1015
-42,19,-1020
11,29,-995
-23,-5,-1020
-7,44,-1007
-9,15,-1022
-13,50,-1011
1,15,-1013
-31,3,-1015
9,27,-1007
-29,29,-1022
-1,25,-1016
-25,19,-1011
-9,17,-1015
-21,31,-1022
-9,21,-1005
-35,15,-1009
9,23,-1009
-33,15,-1013
9,35,-1015
-25,25,-1022
-5,33,-1011
-19,1,-1022
-11,29,-1013
5,9,-1009
-40,42,-1016
13,19,-1009
-39,9,-1036
5,15,-1007
-21,11,-1022
0,40,-1011
-15,17,-1018
-3,21,-1016
-17,19,-1016
3,21,-1020
-29,31,-1015
-11,13,-1015
-27,11,-1011
0,15,-1007
-29,35,-1018
0,17,-1005
-19,27,-1018
-15,19,-1015
-7,21,-1020
-21,15,-1011
-15,29,-1015
-21,21,-1018
-13,25,-1020
-19,15,-1018
-11,21,-1007
-29,13,-1026
-17,37,-1011
-3,19,-1026
-21,31,-1009
-15,25,-1020
1,15,-1016
-9,33,-1015
0,17,-1013
-11,27,-1016
-9,23,-1016
-29,19,-1026
-5,25,-1003
-19,21,-1016
-11,33,-1009
0,5,-1013
-27,44,-1016
9,21,-1022
-25,39,-1020
13,21,-1009
-21,19,-1020
9,25,-1007
-15,31,-1018
-27,39,-1015
-11,3,-1022
-25,21,-1007
-3,15,-1018
-17,33,-1020
-19,42,-1020
-15,13,-1022
-25,25,-1011
-1,13,-1005
-17,25,-1015
-1,27,-1020
-21,9,-1020
-17,35,-1020
3,-3,-1013
-31,42,-1020
3,25,-1003
-29,9,-1028
-3,25,-1005
-15,9,-1026
-21,40,-1013
-17,23,-1022
-40,37,-1007
1,7,-1009
-37,25,-1015
9,27,-1003
-25,13,-1016
-15,35,-1018
-21,3,-1018
-21,27,-1009
-11,15,-1024
-19,27,-1009
-3,25,-1020
-9,-9,-1015
-27,33,-1016
-3,-3,-1028
-17,37,-1020
9,33,-1007
-23,21,-1030
-9,27,-1015
-1,5,-1024
5,15,-1013
-46,29,-1030
13,17,-1022
-27,15,-1024
3,37,-1011
-19,5,-1030
-17,42,-1009
-13,13,-1009
-9,21,-1032
-1,29,-1026
-25,21,-1015
0,31,-1015
-19,23,-1020
-13,17,-1015
-1,19,-1022
-21,37,-1022
-25,31,-1018
-5,13,-1015
-21,31,-1022
7,15,-1005
-52,44,-1022
1,19,-1013
-19,17,-1013
-1,21,-1005
-21,21,-1016
-21,54,-1009
-13,15,-1022
-31,29,-1022
-3,0,-1015
-25,25,-1016
0,40,-1005
-31,27,-1024
-13,37,-1015
-21,11,-1022
-21,17,-1009
-25,33,-1015
-13,13,-1007
-42,42,-1018
-5,-1,-1015
-37,44,-1026
-13,21,-1007
-21,25,-1022
0,35,-1007
-11,0,-1013
-23,35,-1015
0,13,-1018
-37,39,-1013
13,19,-1011
-37,11,-1026
0,31,-1007
-21,7,-1030
-11,40,-1009
-9,13,-1020
-13,15,-1016
-5,25,-1024
-11,7,-1022
-9,33,-1022
-5,9,-1026
-9,25,-1013
-1,11,-1011
-9,15,-1020
-7,37,-1024
3,15,-1024
-29,31,-1022
11,11,-1015
-33,25,-1028
5,35,-1013
-5,19,-1028
-5,33,-1015
-11,7,-1015
-15,25,-1020
-1,23,-1024
-37,25,-1020
11,29,-1009
-13,3,-1016
-7,29,-1013
0,19,-1015
-17,37,-1016
-9,27,-1028
-13,21,-1011
-31,27,-1011
-1,27,-1015
-31,40,-1013
-5,11,-1015
-21,27,-1013
-5,25,-1016
-25,31,-1009
-15,31,-1011
-11,19,-1020
-44,19,-1013
-3,23,-1013
-39,25,-1016
5,39,-1024
-19,19,-1013
-13,31,-1020
-31,11,-1016
-7,31,-1016
-13,31,-1016
-3,29,-1015
-25,29,-1020
-7,9,-1015
-23,29,-1022
-1,23,-1009
-33,23,-1018
-9,21,-1018
-17,5,-1020
-17,39,-1016
7,3,-1022
-27,42,-1016
5,15,-1015
-33,19,-1022
9,19,-1009
-33,19,-1030
17,31,-1005
-21,17,-1015
-15,9,-1009
-9,15,-1015
-13,23,-1018
-27,31,-1011
-3,11,-1015
-17,33,-1015
11,7,-1015
-27,27,-1026
-11,27,-1020
-5,25,-1030
-11,35,-1015
5,9,-1013
-23,40,-1016
-1,9,-1007
-40,40,-1022
5,5,-1013
-31,11,-1011
-3,29,-1013
-25,27,-1020
-7,31,-1009
-19,17,-1024
-25,21,-1009
-13,23,-1018
-17,25,-1016
-17,42,-1020
-19,5,-1009
-9,27,-1013
-7,23,-1020
-7,35,-1024
-29,35,-1015
-19,5,-1011
-35,29,-1009
-5,15,-1016
-17,27,-1013
-7,29,-1022
-15,21,-1020
-23,31,-1015
-11,0,-1024
-25,31,-1009
5,29,-1015
-21,11,-1016
-11,29,-1020
-19,5,-1020
-11,44,-1015
-9,27,-1018
-7,23,-1018
-11,17,-1024
1,13,-1016
-27,39,-1026
-9,13,-1018
-23,29,-1016
11,17,-1013
-31,9,-1028
-11,29,-1022
-5,3,-1024
-21,39,-1009
5,5,-1024
-25,23,-1020
17,33,-1018
-35,29,-1022
1,25,-1015
-13,5,-1026
-15,21,-1016
-11,15,-1015
-21,23,-1020
-21,31,-1016
0,3,-1009
-29,29,-1022
-5,3,-1011
-27,40,-1011
-5,13,-1009
-17,29,-1015
-13,15,-1018
-15,25,-1007
-21,35,-1007
-3,15,-1013
-23,23,-1024
-11,15,-1015
-40,13,-1026
-7,35,-1022
-21,21,-1013
-19,33,-1015
-25,13,-1015
-19,11,-1013
-19,29,-1018
-21,11,-1007
-7,31,-1007
-27,15,-1011
-9,21,-1015
-13,23,-1015
-29,33,-1011
-9,11,-1018
-13,23,-1018
-21,27,-1022
1,25,-1015
-29,46,-1024
-3,15,-1009
-29,27,-1024
-19,27,-1011
-15,13,-1026
-13,39,-1007
-9,21,-1013
-29,21,-1016
0,9,-1007
-33,25,-1022
9,31,-1018
-23,17,-1022
-9,25,-1015
0,9,-1020
-7,31,-1020
-9,27,-1022
-7,17,-1024
-9,25,-1028
5,-3,-1018
-23,37,-1009
11,17,-1009
-27,25,-1018
15,27,-1009
-17,15,-1028
-3,33,-1016
-11,11,-1020
-9,40,-1011
13,27,-1016
-31,19,-1022
15,19,-1015
-19,19,-1022
-17,40,-1018
-11,9,-1024
-15,37,-1018
-5,9,-1018
-21,39,-1022
-7,33,-1005
-25,19,-1016
-5,33,-1007
-15,9,-1015
-21,40,-1018
-25,21,-1024
-21,29,-1020
-23,13,-1015
-7,25,-1015
-33,29,-1013
-3,19,-1016
-35,37,-1016
-9,19,-1009
-15,11,-1022
-17,27,-1005
-13,21,-1011
-15,39,-1009
-13,19,-1020
-11,19,-1009
-5,23,-1026
-23,11,-1018
-3,35,-1024
-33,13,-1026
-7,15,-1013
-5,17,-1013
-13,15,-1011
-9,29,-1024
5,15,-1013
-29,33,-1032
7,3,-1018
-21,40,-1013
19,21,-1005
-23,25,-1022
-11,13,-1015
-27,5,-1028
0,19,-1013
-1,29,-1009
-19,31,-1020
-5,29,-1018
-29,17,-1028
-17,33,-1020
-9,9,-1016
-7,31,-1011
3,0,-1016
-7,27,-1018
-23,31,-1028
0,5,-1020
-19,33,-1020
-5,5,-1015
-21,23,-1020
-11,21,-1015
-23,35,-1024
-13,35,-1011
-25,19,-1018
-19,21,-1007
-1,25,-1022
-23,21,-1022
5,35,-1015
-33,19,-1013
-5,11,-1005
-17,25,-1024
-11,19,-1011
-27,29,-1024
-3,19,-1009
-31,31,-1020
-11,21,-1018
-23,39,-1009
-21,17,-1015
-13,29,-1026
-15,23,-1009
-17,25,-1016
-13,33,-1013
-1,40,-1015
-31,19,-1009
-5,19,-1020
-15,15,-1022
-1,29,-1013
-21,19,-1026
5,25,-1015
-21,13,-1013
7,23,-1018
